fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20230903 004726	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	125	TRUE	150523	0.0602553447753876	0.555544476293237	2240	159	13980	67620000	62
20230903 004813	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	137	TRUE	150523	0.0303406903354461	0.999718060281673	691	456	12021	69180000	63
20230903 004916	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	203	TRUE	150523	0.020520151867364	0.999804564528865	929	1021	13672	67110000	64
20230903 004958	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	212	TRUE	150523	0.0315791592304794	0.99935185887022	2131	548	11924	67800000	65
20230903 005040	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	414	TRUE	150523	0.0235370739696895	0.925024842075306	342	16	11841	67560000	66
20230903 005244	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	401	TRUE	150523	0.0430834209882568	0.999518399087843	1	1017	11309	62925000	67
20230903 005424	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	411	TRUE	150523	0.0112929799744616	0.985162181723864	938	74	12263	68100000	68
20230903 005640	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	755	TRUE	150523	0.0123347651651976	0.631747066811658	1183	418	11667	68325000	69
20230903 005854	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1134	TRUE	150523	0.01119730470301	0.200930016227467	1351	20	11920	68280000	70
20230903 010032	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	786	TRUE	150523	0.019231958442143	0.655056074459459	3068	252	11024	67500000	71
20230903 010117	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	157	TRUE	150523	0.0303722495111808	0.878404838635543	957	650	12063	67860000	72
20230903 010258	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	879	TRUE	150523	0.0179407895917748	0.630046314406777	4365	1020	13101	67500000	73
20230903 010325	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	105	TRUE	150523	0.168078390501947	0.538278274453463	3572	948	13131	65730000	74
20230903 010351	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	227	TRUE	150523	0.0799435337034932	0.735016329150647	6600	1024	13064	65700000	75
20230903 010612	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	715	TRUE	150523	0.0116526658876024	0.516443007469922	1632	66	10392	66630000	76
20230903 010655	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	287	TRUE	150523	0.0388330231366368	0.201143449968664	2472	39	11991	66390000	77
20230903 010919	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1000	TRUE	150523	0.0101826088503268	0.607111001315312	3180	405	11696	68235000	78
20230903 011122	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	738	TRUE	150523	0.012036341458705	0.914305461804309	1500	233	11512	68670000	79
20230903 011356	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1058	TRUE	150523	0.0103348927928663	0.952965099811681	3089	1012	12151	68430000	80
