fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20230915 124051	1452	174522	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1528	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.138832045538808	0.692075299478985	778	101	12783	66804643.1784108	33
20230915 124923	1452	174522	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1830	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.137194016742942	0.686153278414631	769	102	12139	66622820.089955	34
20230915 125020	1452	174522	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	235	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.298469632831661	0.014123883263045	188	26938	14179	59100601.1994003	35
20230915 125427	1452	174522	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	212	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.134777563196415	0.654229310036982	781	100	13238	66188068.9655172	36
20230915 130052	1452	174522	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	906	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.135134263907337	0.635109171430963	778	107	10848	66129703.1484258	37
20230915 130343	1452	174522	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1362	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.153202665545554	0.998668119435575	993	28145	12092	65180971.5142429	38
20230915 130545	1452	174522	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	683	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.0206758228096227	0.999621583711016	780	26822	15478	60161742.1289355	39
20230915 130705	1452	174522	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	409	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.157927552833938	0.9994489716989	446	29092	12979	65663239.88006	40
20230915 130842	1452	174522	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	591	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.19744037078953	0.998496084058251	774	28682	11545	64941971.5142429	41
20230915 130959	1452	174522	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	395	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.134221329058917	0.973546448196531	36	31154	11910	63286011.994003	42
