fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20230913 012225	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2026	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.22965691568532	0.52406779780683	716	49638	14321	67647914.5427286	48
20230913 012705	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	610	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.221434721881808	0.491216392730604	663	13586	12702	66961706.1469265	49
20230913 012914	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	167	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.258114255194954	0.267653038720814	1024	6863	13074	68265616.1919041	50
20230913 013315	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	449	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.119888105752192	0.427572813731429	563	4901	11885	68360532.2338831	51
20230913 013709	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	539	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.131383850310057	0.411505575667064	11	5367	12196	69298836.5817091	52
20230913 014054	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	541	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.129988805162906	0.405095492267388	8	5504	11889	69380196.4017991	53
20230913 014247	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	32	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.129129317118034	0.404979943361627	12	5365	12066	65239301.3493253	54
20230913 014610	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	319	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.144470761721193	0.432375127943405	595	5791	11785	68828628.1859071	55
20230913 014949	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	369	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.144746928038869	0.433140704888697	597	5708	13382	68687823.0884558	56
20230913 015329	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	369	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.144746928038869	0.433140704888697	597	5708	13382	68687823.0884558	57
20230913 015705	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	369	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.144746928038869	0.433140704888697	597	5708	13382	68687823.0884558	58
20230913 015936	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	112	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.0806703803487493	0.563684224422218	116	37300	12804	63265901.0494753	59
20230913 020312	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	369	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.144746928038869	0.433140704888697	597	5708	13382	68687823.0884558	60
20230913 020440	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	34	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.0604536996354744	0.733560729600604	612	6863	12684	62448689.6551724	61
20230913 020614	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	57	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.191649967041843	0.237959159155457	599	35721	13324	63137925.0374813	62
20230913 020738	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	39	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.2290322500056	0.204176762761135	122	33794	13047	60634172.4137931	63
20230913 021854	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2780	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.109354831540604	0.592204072598123	817	20835	13384	67057655.1724138	64
20230913 022105	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	72	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.105938321320277	0.450194695326802	231	33512	12805	62448448.2758621	65
20230913 022912	747	293487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2144	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.140409488975893	0.248248539670798	186	46836	12432	68429337.3313343	66
