Feature	Gain	Cover	Frequency	pos
cseguro_vida	1.87092646642264e-05	0.00117076957439872	0.000288669713735867	1714
canarito165	1.86338809756257e-05	0.000186734224945794	0.000433004570603801	1715
rf_001_019	1.85818990923397e-05	5.62420233573968e-06	2.40558094779889e-05	1716
ccallcenter_transacciones_delta2	1.85509852257604e-05	7.84570590362404e-05	0.000120279047389945	1717
chomebanking_transacciones_tend6	1.84716527867963e-05	0.000296217382137761	0.000336781332691845	1718
mextraccion_autoservicio_rank_delta2	1.8440922690566e-05	9.76627519823334e-06	2.40558094779889e-05	1719
canarito36	1.82105838085539e-05	0.000676321601819262	0.000625451046427712	1720
vm_msaldototal_rank	1.81762452417441e-05	3.07894082778695e-05	9.62232379119557e-05	1721
canarito656	1.81104192460847e-05	0.000180822613472657	0.000384892951647823	1722
canarito406	1.8071768896802e-05	0.000123439406775593	0.000360837142169834	1723
vm_mpagospesos_rank_delta1	1.80346388865797e-05	0.000168889498797377	0.000288669713735867	1724
mtransferencias_recibidas_rank_delta1	1.79950400453327e-05	0.000126657262019789	0.000240558094779889	1725
canarito148	1.79740037761212e-05	0.000211054109895578	0.000481116189559779	1726
mtransferencias_emitidas_rank_delta1	1.79457063924272e-05	8.2153929509432e-05	7.21674284339668e-05	1727
canarito263	1.79392112306255e-05	0.000280145012336629	0.000577339427471734	1728
canarito1131	1.784578148665e-05	8.11705394216699e-05	0.000288669713735867	1729
canarito310	1.78161459175564e-05	0.000138069095416455	0.0002165022853019	1730
canarito1214	1.76575709857408e-05	8.667357908184e-05	0.000264613904257878	1731
cpayroll_trx_lag1	1.76446038731641e-05	6.1412570093911e-05	0.000144334856867934	1732
rf_013_021	1.75989453807955e-05	3.81775137509704e-05	2.40558094779889e-05	1733
canarito31	1.75131254693959e-05	0.000109240831840828	0.000240558094779889	1734
canarito1168	1.74901464455795e-05	9.13791992725641e-05	0.000336781332691845	1735
canarito113	1.74722317536187e-05	0.000260482846054669	0.000336781332691845	1736
canarito841	1.74513337124054e-05	9.41349457076109e-05	0.000240558094779889	1737
vmr_Visa_mlimitecompra	1.73048764982911e-05	1.71571984079754e-05	7.21674284339668e-05	1738
mcomisiones_otras_rank_delta1	1.72871410996111e-05	9.82995604632338e-05	0.000120279047389945	1739
canarito920	1.68709101395331e-05	0.000291906245076798	0.000649506855905701	1740
Visa_msaldototal_rank_lag1	1.6818954733003e-05	5.48641501398734e-05	7.21674284339668e-05	1741
ccajas_extracciones_tend6	1.68070385540075e-05	5.68506544718857e-05	4.81116189559779e-05	1742
cinversion2	1.66976592409803e-05	0.000253128553421262	4.81116189559779e-05	1743
canarito149	1.6687710031651e-05	0.000337843805537501	0.000505171999037768	1744
canarito279	1.66873860152234e-05	0.000100055010390672	0.000240558094779889	1745
canarito691	1.65614071255552e-05	0.000153377858587835	0.000384892951647823	1746
canarito1120	1.65254009127292e-05	0.000101728745955516	0.000264613904257878	1747
rf_016_014	1.64608774660422e-05	1.34039732019608e-05	2.40558094779889e-05	1748
canarito488	1.64440152556208e-05	6.00713274527226e-05	0.0002165022853019	1749
rf_020_018	1.64220651590103e-05	0.000131596754351729	4.81116189559779e-05	1750
cprestamos_personales_lag1	1.63649084847092e-05	0.000200952524037048	7.21674284339668e-05	1751
rf_018_010	1.62785078121739e-05	0.00128375799597228	0.000481116189559779	1752
canarito7	1.61823665134228e-05	0.000294859233076725	0.000433004570603801	1753
canarito1271	1.61333399335338e-05	0.000782006450018955	0.00045706038008179	1754
canarito778	1.61331525614604e-05	0.000573806707340864	0.000529227808515757	1755
canarito1022	1.61038334321116e-05	0.000672027371178146	0.00045706038008179	1756
vm_mpagominimo_rank_lag1	1.59755161416197e-05	6.00008840366938e-05	0.000144334856867934	1757
canarito971	1.57687886105769e-05	0.00013429051058067	0.00045706038008179	1758
rf_003_015	1.5760099868488e-05	2.21417745261736e-05	4.81116189559779e-05	1759
rf_004_023	1.56958816708825e-05	3.65347732891787e-05	2.40558094779889e-05	1760
canarito177	1.56574682414383e-05	0.000135090747786757	0.000312725523213856	1761
Visa_mfinanciacion_limite_rank	1.56422263538684e-05	0.000110159413985843	0.000336781332691845	1762
canarito722	1.55961898404324e-05	0.000444945975267694	0.000529227808515757	1763
canarito485	1.55041985943341e-05	0.00010826871269963	0.000288669713735867	1764
ctarjeta_debito_transacciones_tend6	1.53361328558902e-05	0.000377306207196837	0.000288669713735867	1765
Visa_mpagado_rank_lag1	1.53145232801388e-05	0.000182721767968793	0.000192446475823911	1766
canarito676	1.52751984680463e-05	0.000178599419262788	0.000433004570603801	1767
canarito1050	1.4940163913387e-05	0.000265698476577442	0.000384892951647823	1768
