envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
179	8511000	9183000	8463000	7863000	8583000	8463000	
180	8604000	9300000	8580000	7980000	8580000	8580000	
181	8625000	9297000	8577000	7977000	8697000	8577000	
182	8670000	9414000	8574000	7974000	8694000	8694000	
183	8715000	9531000	8571000	8091000	8691000	8691000	
184	8736000	9648000	8568000	8088000	8688000	8688000	
185	8781000	9645000	8565000	8205000	8805000	8685000	
186	8826000	9642000	8562000	8202000	8922000	8802000	
187	8847000	9639000	8559000	8199000	9039000	8799000	
188	8868000	9636000	8556000	8316000	9036000	8796000	
189	8937000	9753000	8673000	8313000	9153000	8793000	
190	8982000	9750000	8790000	8310000	9150000	8910000	
191	9003000	9747000	8787000	8427000	9147000	8907000	
192	9048000	9744000	8904000	8544000	9144000	8904000	
193	9117000	9861000	8901000	8661000	9141000	9021000	
194	9162000	9858000	8898000	8778000	9258000	9018000	
195	9231000	9975000	9015000	8775000	9375000	9015000	
196	9324000	10092000	9132000	8892000	9372000	9132000	
197	9369000	10209000	9129000	8889000	9369000	9249000	
198	9390000	10206000	9126000	8886000	9486000	9246000	
199	9459000	10323000	9243000	8883000	9483000	9363000	
200	9504000	10440000	9360000	8880000	9480000	9360000	
201	9573000	10437000	9357000	8997000	9597000	9477000	
202	9594000	10434000	9354000	8994000	9714000	9474000	
203	9663000	10431000	9471000	8991000	9831000	9591000	
204	9732000	10548000	9468000	8988000	9948000	9708000	
205	9801000	10545000	9585000	9105000	10065000	9705000	
206	9798000	10542000	9582000	9102000	10062000	9702000	
207	9867000	10659000	9699000	9099000	10059000	9819000	
208	9888000	10776000	9696000	9096000	10056000	9816000	
209	9957000	10773000	9813000	9093000	10173000	9933000	
210	10026000	10770000	9930000	9210000	10290000	9930000	
211	10119000	10887000	10047000	9207000	10407000	10047000	
212	10164000	10884000	10044000	9324000	10404000	10164000	
213	10185000	10881000	10041000	9441000	10401000	10161000	
214	10254000	10878000	10158000	9438000	10518000	10278000	
215	10299000	10875000	10275000	9435000	10635000	10275000	
216	10320000	10992000	10272000	9432000	10632000	10272000	
217	10365000	10989000	10389000	9429000	10629000	10389000	
218	10410000	10986000	10506000	9426000	10746000	10386000	
219	10455000	11103000	10503000	9423000	10863000	10383000	
220	10500000	11220000	10500000	9540000	10860000	10380000	
221	10545000	11217000	10617000	9537000	10857000	10497000	
222	10590000	11214000	10614000	9654000	10854000	10614000	
223	10611000	11211000	10731000	9651000	10851000	10611000	
224	10704000	11328000	10848000	9768000	10968000	10608000	
225	10725000	11325000	10845000	9765000	11085000	10605000	
226	10818000	11442000	10842000	9882000	11202000	10722000	
227	10839000	11439000	10839000	9879000	11199000	10839000	
228	10884000	11436000	10956000	9876000	11196000	10956000	
229	10929000	11553000	10953000	9873000	11313000	10953000	
230	10974000	11550000	11070000	9870000	11430000	10950000	
231	11043000	11667000	11187000	9987000	11427000	10947000	
232	11088000	11664000	11304000	10104000	11424000	10944000	
233	11109000	11781000	11301000	10101000	11421000	10941000	
234	11154000	11898000	11298000	10098000	11418000	11058000	
235	11199000	11895000	11415000	10095000	11535000	11055000	
236	11316000	12012000	11532000	10212000	11652000	11172000	
237	11313000	12009000	11529000	10209000	11649000	11169000	
238	11310000	12006000	11526000	10206000	11646000	11166000	
239	11355000	12123000	11523000	10203000	11643000	11283000	
240	11376000	12120000	11640000	10200000	11640000	11280000	
241	11445000	12237000	11757000	10197000	11637000	11397000	
242	11514000	12234000	11874000	10194000	11754000	11514000	
243	11559000	12351000	11991000	10191000	11751000	11511000	
244	11628000	12468000	12108000	10308000	11748000	11508000	
245	11673000	12465000	12105000	10425000	11745000	11625000	
246	11694000	12462000	12102000	10542000	11742000	11622000	
247	11739000	12579000	12099000	10539000	11859000	11619000	
248	11832000	12696000	12096000	10656000	11976000	11736000	
249	11877000	12693000	12213000	10653000	11973000	11853000	
250	11946000	12810000	12210000	10650000	12090000	11970000	
251	11967000	12807000	12207000	10647000	12087000	12087000	
252	12060000	12924000	12324000	10764000	12084000	12204000	
253	12081000	12921000	12321000	10761000	12201000	12201000	
254	12102000	12918000	12438000	10758000	12198000	12198000	
255	12147000	12915000	12555000	10755000	12195000	12315000	
256	12168000	12912000	12552000	10752000	12192000	12432000	
257	12213000	12909000	12549000	10869000	12309000	12429000	
258	12234000	12906000	12666000	10866000	12306000	12426000	
259	12303000	13023000	12663000	10983000	12303000	12543000	
260	12348000	13020000	12780000	10980000	12300000	12660000	
261	12345000	13017000	12777000	10977000	12297000	12657000	
262	12390000	13014000	12774000	11094000	12414000	12654000	
263	12483000	13131000	12891000	11091000	12531000	12771000	
264	12552000	13248000	12888000	11208000	12648000	12768000	
265	12621000	13365000	13005000	11325000	12645000	12765000	
266	12666000	13362000	13122000	11322000	12642000	12882000	
267	12759000	13359000	13239000	11439000	12759000	12999000	
268	12780000	13356000	13236000	11556000	12756000	12996000	
269	12777000	13353000	13233000	11553000	12753000	12993000	
270	12822000	13350000	13350000	11670000	12750000	12990000	
271	12867000	13467000	13347000	11787000	12747000	12987000	
272	12936000	13584000	13344000	11904000	12744000	13104000	
273	13029000	13701000	13461000	11901000	12861000	13221000	
274	13074000	13818000	13458000	11898000	12978000	13218000	
275	13143000	13815000	13575000	12015000	13095000	13215000	
276	13212000	13812000	13692000	12132000	13212000	13212000	
277	13257000	13809000	13809000	12129000	13329000	13209000	
278	13302000	13926000	13926000	12126000	13326000	13206000	
279	13323000	14043000	13923000	12123000	13323000	13203000	
280	13392000	14040000	14040000	12240000	13320000	13320000	
281	13413000	14157000	14037000	12237000	13317000	13317000	
282	13458000	14154000	14154000	12234000	13434000	13314000	
283	13503000	14271000	14151000	12231000	13551000	13311000	
284	13548000	14388000	14148000	12228000	13668000	13308000	
285	13593000	14505000	14145000	12345000	13665000	13305000	
286	13686000	14622000	14142000	12462000	13782000	13422000	
287	13707000	14619000	14139000	12579000	13779000	13419000	
288	13776000	14736000	14136000	12576000	13896000	13536000	
289	13821000	14733000	14133000	12693000	14013000	13533000	
290	13842000	14850000	14130000	12690000	14010000	13530000	
291	13863000	14847000	14127000	12807000	14007000	13527000	
292	13908000	14964000	14124000	12924000	14004000	13524000	
293	13929000	14961000	14121000	13041000	14001000	13521000	
294	13950000	14958000	14118000	13038000	13998000	13638000	
295	14043000	15075000	14115000	13155000	14115000	13755000	
296	14088000	15192000	14112000	13152000	14232000	13752000	
297	14133000	15189000	14109000	13149000	14349000	13869000	
298	14202000	15186000	14226000	13266000	14466000	13866000	
299	14271000	15183000	14223000	13383000	14583000	13983000	
300	14268000	15180000	14220000	13380000	14580000	13980000	
301	14289000	15297000	14217000	13377000	14577000	13977000	
302	14358000	15414000	14334000	13374000	14694000	13974000	
303	14451000	15531000	14451000	13371000	14811000	14091000	
304	14496000	15528000	14448000	13488000	14928000	14088000	
305	14565000	15525000	14565000	13605000	14925000	14205000	
306	14586000	15522000	14562000	13602000	15042000	14202000	
307	14655000	15639000	14679000	13719000	15039000	14199000	
308	14700000	15756000	14796000	13716000	15036000	14196000	
309	14745000	15753000	14913000	13713000	15153000	14193000	
310	14790000	15750000	15030000	13830000	15150000	14190000	
311	14811000	15747000	15147000	13827000	15147000	14187000	
312	14880000	15744000	15144000	13944000	15264000	14304000	
313	14949000	15861000	15141000	13941000	15381000	14421000	
314	14994000	15978000	15258000	13938000	15378000	14418000	
315	15039000	15975000	15255000	14055000	15375000	14535000	
316	15084000	15972000	15252000	14172000	15372000	14652000	
317	15129000	16089000	15369000	14169000	15369000	14649000	
318	15150000	16206000	15366000	14166000	15366000	14646000	
319	15171000	16323000	15363000	14163000	15363000	14643000	
320	15216000	16440000	15480000	14160000	15360000	14640000	
321	15261000	16557000	15477000	14157000	15357000	14757000	
322	15330000	16554000	15594000	14154000	15474000	14874000	
323	15375000	16671000	15591000	14151000	15471000	14991000	
324	15468000	16668000	15708000	14268000	15588000	15108000	
325	15489000	16665000	15705000	14385000	15585000	15105000	
326	15558000	16662000	15702000	14502000	15702000	15222000	
327	15603000	16659000	15819000	14499000	15699000	15339000	
328	15624000	16656000	15936000	14496000	15696000	15336000	
